,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
1002,Viktor Pesta,,120,1,3,0,1.0,1,1,19,7,0.36,0,18,31,0,3,0,26,190.5,Orthodox,195.58,240,0,0
1003,Alex White,,150,2,2,0,0.0,0,0,30,11,0.36,0,28,51,0,0,1,28,182.88,Southpaw,180.34,155,1,0
1004,Nina Ansaroff,,-175,0,2,0,1.0,1,1,106,48,0.45,0,89,155,2,5,0,31,165.1,Orthodox,162.56,115,0,0
1005,Chase Sherman,,135,0,1,0,0.0,0,0,63,20,0.31,0,20,63,0,0,0,27,193.04,Orthodox,198.12,250,0,0
1006,Joachim Christensen,,-250,0,1,0,0.0,1,0,95,41,0.43,1,139,199,0,0,0,38,190.5,Orthodox,193.04,205,0,0
1007,Cyril Asker,,-120,0,1,0,1.0,1,1,47,19,0.4,0,39,90,0,2,0,31,182.88,Orthodox,187.96,247,0,0
1008,Ronda Rousey,1.0,-190,6,1,0,0.0,0,0,14,7,0.5,0,7,14,0,0,0,29,170.18,Orthodox,172.72,135,3,3
1009,Cody Garbrandt,5.0,205,5,0,0,0.25,4,1,195,68,0.34,2,71,198,0,0,0,25,172.72,Orthodox,165.1,135,4,0
1010,John Lineker,2.0,190,10,2,0,0.5,2,1,90,38,0.42,0,51,107,0,0,0,26,160.02,Orthodox,170.18,135,5,1
1011,Tarec Saffiedine,12.0,125,2,2,0,0.33,6,2,105,52,0.49,0,68,122,0,0,0,30,177.8,Switch,177.8,170,0,0
1012,Ray Borg,13.0,-140,3,2,0,0.5,8,4,38,21,0.55,0,33,53,1,12,0,23,162.56,Orthodox,160.02,135,0,2
1013,Neil Magny,8.0,-200,11,4,0,1.0,1,1,91,50,0.54,0,96,139,2,0,0,29,190.5,Orthodox,203.2,170,4,1
