,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
119,Allen Crowder,,190,1,1,0,0.0,0,0,1,0,0.0,0,0,1,0,0,0,29,190.5,Orthodox,193.04,245,0,0
120,Ariane Lipski,,-255,0,1,0,0.0,0,0,271,68,0.25,0,68,271,0,0,0,25,167.64,Orthodox,170.18,125,0,0
121,Deron Winn,,-360,0,0,0,0.0,3,0,367,169,0.46,0,171,369,0,0,0,30,167.64,Orthodox,177.8,185,0,0
122,Corey Anderson,5.0,-235,10,4,0,0.0,0,0,27,11,0.4,0,11,27,0,0,0,30,190.5,Orthodox,200.66,205,3,0
123,Diego Sanchez,,135,21,12,0,0.0,6,0,64,25,0.39,0,29,68,0,0,0,38,177.8,Southpaw,182.88,170,6,2
124,Montana De La Rosa,12.0,-175,3,1,0,0.33,3,1,67,27,0.4,1,74,128,1,6,0,25,170.18,Orthodox,172.72,125,0,3
125,Brok Weaver,,-270,0,0,0,0.0,0,0,9,5,0.55,0,6,10,1,0,0,28,182.88,Southpaw,185.42,170,0,0
126,Rogerio Bontorin,7.0,130,2,0,0,0.0,2,0,20,9,0.45,0,24,35,0,0,0,27,165.1,Orthodox,170.18,125,1,0
127,Lando Vannata,,-120,2,4,2,0.0,3,0,188,99,0.52,0,100,189,0,0,0,27,175.26,Orthodox,180.34,155,1,1
128,Tim Means,,-345,11,8,0,0.33,3,1,95,41,0.43,0,41,95,0,0,0,35,187.96,Orthodox,190.5,170,5,2
129,John Dodson,13.0,130,9,6,0,0.0,0,0,72,39,0.54,1,57,91,0,0,0,35,160.02,Orthodox,167.64,135,5,0
130,Jim Miller,,115,20,12,0,0.0,2,0,121,58,0.47,0,66,131,0,0,0,36,172.72,Southpaw,180.34,155,3,9
131,Devin Clark,,-400,4,4,0,0.75,4,3,54,39,0.72,0,122,150,0,3,0,29,182.88,Orthodox,190.5,205,0,0
132,Casey Kenney,15.0,150,2,0,0,0.0,0,0,118,45,0.38,0,47,120,0,0,0,28,170.18,Southpaw,172.72,135,0,0
133,Macy Chiasson,12.0,-800,3,1,0,0.37,8,3,166,86,0.51,0,154,253,0,4,0,28,180.34,Orthodox,182.88,135,2,1
134,Mark De La Rosa,13.0,205,2,3,0,0.0,2,0,124,45,0.36,0,45,124,0,0,0,25,167.64,Orthodox,165.1,135,0,1
135,Urijah Faber,,320,19,9,0,0.0,0,0,15,11,0.73,1,11,15,0,0,0,40,167.64,Orthodox,170.18,135,2,12
136,Josh Emmett,10.0,150,5,2,0,0.0,0,0,52,27,0.51,1,33,60,0,1,0,34,167.64,Orthodox,177.8,145,2,0
137,Karl Roberson,,-220,0,2,0,0.0,0,0,80,50,0.62,0,79,113,0,1,3,28,185.42,Southpaw,187.96,185,0,1
138,Marvin Vettori,,-220,2,2,1,0.5,4,2,148,78,0.52,0,106,176,0,2,0,25,182.88,Southpaw,187.96,185,0,1
139,Andre Fili,,-160,7,5,0,0.0,0,0,55,19,0.34,1,20,58,0,0,0,29,180.34,Orthodox,187.96,145,2,0
140,Julianna Pena,,-250,4,1,0,0.5,4,2,90,45,0.5,0,108,158,0,2,0,29,167.64,Orthodox,175.26,135,2,0
141,Darren Elkins,,-115,14,6,0,0.0,0,0,126,29,0.23,0,31,128,0,0,0,35,177.8,Orthodox,180.34,145,3,1
142,Liu Pingyuan,,-220,2,0,0,0.0,0,0,150,27,0.18,0,27,150,0,0,0,26,167.64,Orthodox,182.88,135,0,0
143,Livinha Souza,,-115,1,0,0,0.66,3,2,66,23,0.34,0,30,73,0,0,0,28,160.02,Orthodox,160.02,115,0,1
144,Benito Lopez,,-105,1,1,0,0.0,0,0,132,54,0.4,0,54,132,0,0,0,25,177.8,Switch,185.42,135,0,0
145,Rafael Dos Anjos,4.0,-110,18,9,0,0.0,5,0,169,81,0.47,0,129,219,0,0,0,34,172.72,Southpaw,177.8,170,4,4
